Date;SP500TR
01.01.2010;1837.5
01.02.2010;1796.67
01.03.2010;1844.87
01.04.2010;1950.91
01.05.2010;1992.87
01.06.2010;1778.99
01.07.2010;1709.77
01.08.2010;1875.85
01.09.2010;1804.46
01.10.2010;1917.42
01.11.2010;1983.47
01.12.2010;2024.97
01.01.2011;2138.3
01.02.2011;2200.54
01.03.2011;2203.32
01.04.2011;2250.58
01.05.2011;2301.72
01.06.2011;2227.96
01.07.2011;2274.26
01.08.2011;2187
01.09.2011;2052.3
01.10.2011;1875.95
01.11.2011;2081.97
01.12.2011;2133.07
01.01.2012;2158.94
01.02.2012;2276.24
01.03.2012;2367.87
01.04.2012;2449.08
01.05.2012;2429.1
01.06.2012;2214.41
01.07.2012;2369.75
01.08.2012;2389.73
01.09.2012;2450.6
01.10.2012;2520.71
01.11.2012;2494.67
01.12.2012;2470.07
01.01.2013;2504.44
01.02.2013;2660.7
01.03.2013;2676.18
01.04.2013;2757.83
01.05.2013;2797.28
01.06.2013;2906.91
01.07.2013;2866.41
01.08.2013;3033.59
01.09.2013;2908.96
01.10.2013;3024.38
01.11.2013;3147.21
01.12.2013;3225.06
01.01.2014;3315.59
01.02.2014;3127.87
01.03.2014;3322.85
01.04.2014;3399.51
01.05.2014;3400.2
01.06.2014;3483.14
01.07.2014;3576.55
01.08.2014;3493.18
01.09.2014;3643.34
01.10.2014;3544.98
01.11.2014;3679.58
01.12.2014;3753.31
01.01.2015;3769.44
01.02.2015;3703.77
01.03.2015;3890.32
01.04.2015;3790.66
01.05.2015;3883.75
01.06.2015;3899.59
01.07.2015;3843.26
01.08.2015;3885.07
01.09.2015;3552.65
01.10.2015;3577.47
01.11.2015;3917.3
01.12.2015;3924.63
01.01.2016;3821.6
01.02.2016;3630.46
01.03.2016;3713.7
01.04.2016;3897.66
01.05.2016;3918.53
01.06.2016;3963.1
01.07.2016;3976.68
01.08.2016;4109.28
01.09.2016;4120.17
01.10.2016;4108.13
01.11.2016;4018.47
01.12.2016;4181.15
01.01.2017;4278.66
01.02.2017;4362.1
01.03.2017;4595.73
01.04.2017;4530.98
01.05.2017;4592.78
01.06.2017;4685.11
01.07.2017;4689.61
01.08.2017;4786.27
01.09.2017;4798.99
01.10.2017;4906.92
01.11.2017;5009.99
01.12.2017;5145.21
01.01.2018;5212.76
01.02.2018;5508.7
01.03.2018;5238.18
01.04.2018;5057.69
01.05.2018;5206.31
01.06.2018;5376.29
01.07.2018;5367.49
01.08.2018;5544.19
01.09.2018;5730.8
01.10.2018;5784.45
01.11.2018;5426.33
01.12.2018;5538.86
01.01.2019;4984.22
01.02.2019;5389.19
01.03.2019;5595.11
01.04.2019;5730.04
01.05.2019;5849.65
01.06.2019;5504.05
01.07.2019;5953.63
01.08.2019;5939.83
01.09.2019;5898.23
01.10.2019;5935.2
01.11.2019;6198.59
01.12.2019;6306.88
01.01.2020;6553.57
